Simulation,Instance,Vertices,Sparsity,Edges,Size,Density,Method,status,Actual Optimal Coloring,Optimal Coloring,Solution Time,Gap,Complexity
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,mip,Optimal Feasible,13.0,13.0,11.350247859954834,0.0,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,mip,Optimal Feasible,13.0,13.0,11.350247859954834,0.0,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,lp,Optimal Feasible,13.0,1.999999998811361,0.05456805229187012,84.61538462452799,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,mip,Optimal Feasible,13.0,13.0,11.350247859954834,0.0,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,lp,Optimal Feasible,13.0,1.999999998811361,0.05456805229187012,84.61538462452799,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,sdp,Optimal Feasible,13.0,2.301515529592865,1.1094155311584473,82.29603438774718,17.86
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,mip,Optimal Feasible,13.0,13.0,11.350247859954834,0.0,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,lp,Optimal Feasible,13.0,1.999999998811361,0.05456805229187012,84.61538462452799,15.45
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,sdp,Optimal Feasible,13.0,2.301515529592865,1.1094155311584473,82.29603438774718,17.86
1,15_Vertices_0.2_Sparsity,15,0.2,83,105.0,0.7904761904761904,qesdp,Optimal Feasible,13.0,14.024627563610968,11.216631650924683,-7.881750489315141,60.76
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,mip,Optimal Feasible,8.0,8.0,2.6294119358062744,0.0,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,mip,Optimal Feasible,8.0,8.0,2.6294119358062744,0.0,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,lp,Optimal Feasible,8.0,1.9999999843672795,0.03128862380981445,75.000000195409,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,mip,Optimal Feasible,8.0,8.0,2.6294119358062744,0.0,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,lp,Optimal Feasible,8.0,1.9999999843672795,0.03128862380981445,75.000000195409,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,sdp,Optimal Feasible,8.0,2.301323171987563,0.7822351455688477,71.23346035015547,14.71
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,mip,Optimal Feasible,8.0,8.0,2.6294119358062744,0.0,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,lp,Optimal Feasible,8.0,1.9999999843672795,0.03128862380981445,75.000000195409,12.3
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,sdp,Optimal Feasible,8.0,2.301323171987563,0.7822351455688477,71.23346035015547,14.71
1,15_Vertices_0.4_Sparsity,15,0.4,60,105.0,0.5714285714285714,qesdp,Optimal Feasible,8.0,9.176783105813898,10.665148258209229,-14.70978882267373,50.86
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,mip,Optimal Feasible,5.0,5.0,0.9380583763122559,0.0,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,mip,Optimal Feasible,5.0,5.0,0.9380583763122559,0.0,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,lp,Optimal Feasible,5.0,1.9999999999956533,0.031259775161743164,60.00000000008694,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,mip,Optimal Feasible,5.0,5.0,0.9380583763122559,0.0,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,lp,Optimal Feasible,5.0,1.9999999999956533,0.031259775161743164,60.00000000008694,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,sdp,Optimal Feasible,5.0,2.294288870227728,0.4694516658782959,54.11422259544544,11.41
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,mip,Optimal Feasible,5.0,5.0,0.9380583763122559,0.0,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,lp,Optimal Feasible,5.0,1.9999999999956533,0.031259775161743164,60.00000000008694,9.0
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,sdp,Optimal Feasible,5.0,2.294288870227728,0.4694516658782959,54.11422259544544,11.41
1,15_Vertices_0.6_Sparsity,15,0.6,36,105.0,0.34285714285714286,qesdp,Optimal Feasible,5.0,5.876128857743731,5.915172815322876,-17.522577154874615,40.36
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,mip,Optimal Feasible,4.0,4.0,0.37532591819763184,0.0,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,mip,Optimal Feasible,4.0,4.0,0.37532591819763184,0.0,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,lp,Optimal Feasible,4.0,1.9999999999594777,0.031255245208740234,50.000000001013056,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,mip,Optimal Feasible,4.0,4.0,0.37532591819763184,0.0,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,lp,Optimal Feasible,4.0,1.9999999999594777,0.031255245208740234,50.000000001013056,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,sdp,Optimal Feasible,4.0,2.2936947200297215,0.3443107604980469,42.657631999256964,8.11
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,mip,Optimal Feasible,4.0,4.0,0.37532591819763184,0.0,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,lp,Optimal Feasible,4.0,1.9999999999594777,0.031255245208740234,50.000000001013056,5.7
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,sdp,Optimal Feasible,4.0,2.2936947200297215,0.3443107604980469,42.657631999256964,8.11
1,15_Vertices_0.8_Sparsity,15,0.8,21,105.0,0.2,qesdp,Optimal Feasible,4.0,4.665773240974169,4.816007852554321,-16.64433102435423,32.41
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,mip,Optimal Feasible,11.0,11.0,27.94244408607483,0.0,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,mip,Optimal Feasible,11.0,11.0,27.94244408607483,0.0,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,lp,Optimal Feasible,11.0,1.9999999802219337,0.031252145767211914,81.81818199798244,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,mip,Optimal Feasible,11.0,11.0,27.94244408607483,0.0,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,lp,Optimal Feasible,11.0,1.9999999802219337,0.031252145767211914,81.81818199798244,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,sdp,Optimal Feasible,11.0,2.3014929676621425,0.9847671985626221,79.0773366576169,17.41
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,mip,Optimal Feasible,11.0,11.0,27.94244408607483,0.0,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,lp,Optimal Feasible,11.0,1.9999999802219337,0.031252145767211914,81.81818199798244,15.0
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,sdp,Optimal Feasible,11.0,2.3014929676621425,0.9847671985626221,79.0773366576169,17.41
2,15_Vertices_0.2_Sparsity,15,0.2,79,105.0,0.7523809523809524,qesdp,Optimal Feasible,11.0,12.712356671242617,12.734555721282959,-15.566878829478334,59.11
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,mip,Optimal Feasible,8.0,8.0,2.2199034690856934,0.0,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,mip,Optimal Feasible,8.0,8.0,2.2199034690856934,0.0,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,lp,Optimal Feasible,8.0,1.9999999871433944,0.03984236717224121,75.00000016070757,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,mip,Optimal Feasible,8.0,8.0,2.2199034690856934,0.0,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,lp,Optimal Feasible,8.0,1.9999999871433944,0.03984236717224121,75.00000016070757,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,sdp,Optimal Feasible,8.0,2.3013874402557715,0.5517160892486572,71.23265699680286,15.61
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,mip,Optimal Feasible,8.0,8.0,2.2199034690856934,0.0,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,lp,Optimal Feasible,8.0,1.9999999871433944,0.03984236717224121,75.00000016070757,13.2
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,sdp,Optimal Feasible,8.0,2.3013874402557715,0.5517160892486572,71.23265699680286,15.61
2,15_Vertices_0.4_Sparsity,15,0.4,66,105.0,0.6285714285714286,qesdp,Optimal Feasible,8.0,9.726268533581226,8.454033374786377,-21.57835666976533,53.41
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,mip,Optimal Feasible,6.0,6.0,1.663604974746704,0.0,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,mip,Optimal Feasible,6.0,6.0,1.663604974746704,0.0,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,lp,Optimal Feasible,6.0,1.9999999998176539,0.037395477294921875,66.66666666970578,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,mip,Optimal Feasible,6.0,6.0,1.663604974746704,0.0,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,lp,Optimal Feasible,6.0,1.9999999998176539,0.037395477294921875,66.66666666970578,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,sdp,Optimal Feasible,6.0,2.2944464316965045,0.41155099868774414,61.75922613839159,13.06
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,mip,Optimal Feasible,6.0,6.0,1.663604974746704,0.0,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,lp,Optimal Feasible,6.0,1.9999999998176539,0.037395477294921875,66.66666666970578,10.65
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,sdp,Optimal Feasible,6.0,2.2944464316965045,0.41155099868774414,61.75922613839159,13.06
2,15_Vertices_0.6_Sparsity,15,0.6,44,105.0,0.41904761904761906,qesdp,Optimal Feasible,6.0,6.262893125285531,5.0961384773254395,-4.381552088092189,44.41
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,mip,Optimal Feasible,4.0,4.0,0.33474254608154297,0.0,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,mip,Optimal Feasible,4.0,4.0,0.33474254608154297,0.0,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,lp,Optimal Feasible,4.0,1.9999999999467282,0.02972888946533203,50.0000000013318,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,mip,Optimal Feasible,4.0,4.0,0.33474254608154297,0.0,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,lp,Optimal Feasible,4.0,1.9999999999467282,0.02972888946533203,50.0000000013318,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,sdp,Optimal Feasible,4.0,2.2935545933097905,0.2918736934661865,42.66113516725524,7.66
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,mip,Optimal Feasible,4.0,4.0,0.33474254608154297,0.0,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,lp,Optimal Feasible,4.0,1.9999999999467282,0.02972888946533203,50.0000000013318,5.25
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,sdp,Optimal Feasible,4.0,2.2935545933097905,0.2918736934661865,42.66113516725524,7.66
2,15_Vertices_0.8_Sparsity,15,0.8,18,105.0,0.17142857142857143,qesdp,Optimal Feasible,4.0,4.282348063402309,3.425872564315796,-7.058701585057725,31.21
3,15_Vertices_0.2_Sparsity,15,0.2,86,105.0,0.819047619047619,mip,Optimal Feasible,10.0,10.0,4.914226293563843,0.0,15.0
3,15_Vertices_0.2_Sparsity,15,0.2,86,105.0,0.819047619047619,mip,Optimal Feasible,10.0,10.0,4.914226293563843,0.0,15.0
