Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
vertex_unique_color,2.3431999302404636,0.9944278936547741,3.225864433518116,0.45871559633027525,10_Vertices_0.2_Sparsity,1
adjacent_vertex,2.3028956961074183,1.001513110413371,3.4562087228013665,0.5651105651105651,10_Vertices_0.2_Sparsity,1
vertex_to_global_color,2.351678356017981,0.9929374426960215,1.2651085196962493,0.15847860538827258,10_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.3667471555506574,0.9902884477882303,3.178768232051032,0.5087881591119334,10_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",8.557258560017825,-0.09796235490485959,4.404940483879391,0.5980317940953823,10_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",8.648695339611965,-0.11403633365840636,8.425072351044795,0.7001693958215698,10_Vertices_0.2_Sparsity,1
['vertex_to_global_color'],2.351678356017981,0.9929374426960215,1.227040739203685,0.15847860538827258,10_Vertices_0.2_Sparsity,1
vertex_unique_color,2.3431999302404636,0.9944278936547741,3.225864433518116,0.45871559633027525,10_Vertices_0.2_Sparsity,1
adjacent_vertex,2.3028956961074183,1.001513110413371,3.4562087228013665,0.5651105651105651,10_Vertices_0.2_Sparsity,1
vertex_to_global_color,2.351678356017981,0.9929374426960215,1.2651085196962493,0.15847860538827258,10_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.3667471555506574,0.9902884477882303,3.178768232051032,0.5087881591119334,10_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",8.557258560017825,-0.09796235490485959,4.404940483879391,0.5980317940953823,10_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",8.648695339611965,-0.11403633365840636,8.425072351044795,0.7001693958215698,10_Vertices_0.2_Sparsity,1
