Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
vertex_to_global_color,2.324766837449132,0.9965141253814026,1.2920036177986307,0.12288367012561442,15_Vertices_0.4_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.326877736958116,0.9961989991338637,3.424707927997681,0.5284791544333529,15_Vertices_0.4_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",10.179357867139732,-0.17606078242745887,6.481592117525236,0.5666486778197517,15_Vertices_0.4_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",10.090501322181115,-0.16279580725316667,15.325416752147317,0.6958909297481538,15_Vertices_0.4_Sparsity,1
['vertex_to_global_color'],2.324766837449132,0.9965141253814026,1.191138167346363,0.12288367012561442,15_Vertices_0.4_Sparsity,1
vertex_unique_color,2.3170562359962714,0.9976652047633289,3.800244524731877,0.4951273184533166,15_Vertices_0.4_Sparsity,1
adjacent_vertex,2.295296121613148,1.0009136697719145,4.0277389359425895,0.538638322321172,15_Vertices_0.4_Sparsity,1
vertex_to_global_color,2.324766837449132,0.9965141253814026,1.2920036177986307,0.12288367012561442,15_Vertices_0.4_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.326877736958116,0.9961989991338637,3.424707927997681,0.5284791544333529,15_Vertices_0.4_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",10.179357867139732,-0.17606078242745887,6.481592117525236,0.5666486778197517,15_Vertices_0.4_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",10.090501322181115,-0.16279580725316667,15.325416752147317,0.6958909297481538,15_Vertices_0.4_Sparsity,1
['vertex_to_global_color'],2.324766837449132,0.9965141253814026,1.191138167346363,0.12288367012561442,15_Vertices_0.4_Sparsity,1
vertex_unique_color,2.316161339849809,0.9941106410086866,4.568751584624723,0.5704454907642159,15_Vertices_0.6_Sparsity,1
adjacent_vertex,2.2952372944097803,0.9997571467717902,2.8026293132863525,0.4901117798796217,15_Vertices_0.6_Sparsity,1
vertex_to_global_color,2.3268326847560226,0.9912309010135837,1.283811089683997,0.15946137491141035,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.328868658221878,0.9906814787739204,5.152187697301313,0.6028131279303416,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",6.450536739178544,-0.12158061410987127,4.20780649975211,0.5350842806742454,15_Vertices_0.6_Sparsity,1
