Simulation,Instance,Vertices,Sparsity,Edges,Size,Density,Method,status,Actual Optimal Coloring,Optimal Coloring,Solution Time,Gap,Complexity
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,mip,Optimal Feasible,8.0,8.0,0.3107566833496094,0.0,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,mip,Optimal Feasible,8.0,8.0,0.3107566833496094,0.0,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,lp,Optimal Feasible,8.0,1.9999999925197949,0.030235767364501953,75.00000009350256,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,mip,Optimal Feasible,8.0,8.0,0.3107566833496094,0.0,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,lp,Optimal Feasible,8.0,1.9999999925197949,0.030235767364501953,75.00000009350256,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,sdp,Optimal Feasible,8.0,2.311503020124098,0.08674883842468262,71.10621224844877,5.31
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,mip,Optimal Feasible,8.0,8.0,0.3107566833496094,0.0,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,lp,Optimal Feasible,8.0,1.9999999925197949,0.030235767364501953,75.00000009350256,4.2
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,sdp,Optimal Feasible,8.0,2.311503020124098,0.08674883842468262,71.10621224844877,5.31
1,10_Vertices_0.2_Sparsity,10,0.2,34,45.0,0.7555555555555555,qesdp,Optimal Feasible,8.0,8.648695339611965,0.7308652400970459,-8.108691745149565,6.31
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,5.0,5.0,0.20499610900878906,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,5.0,5.0,0.20499610900878906,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,lp,Optimal Feasible,5.0,1.9999999914549895,0.02207779884338379,60.000000170900215,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,5.0,5.0,0.20499610900878906,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,lp,Optimal Feasible,5.0,1.9999999914549895,0.02207779884338379,60.000000170900215,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,sdp,Optimal Feasible,5.0,2.3112685502348276,0.08169960975646973,53.77462899530345,4.81
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,5.0,5.0,0.20499610900878906,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,lp,Optimal Feasible,5.0,1.9999999914549895,0.02207779884338379,60.000000170900215,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,sdp,Optimal Feasible,5.0,2.3112685502348276,0.08169960975646973,53.77462899530345,4.81
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,qesdp,Optimal Feasible,5.0,6.539879479454464,0.6413812637329102,-30.797589589089274,5.81
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,mip,Optimal Feasible,4.0,4.0,0.15622496604919434,0.0,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,mip,Optimal Feasible,4.0,4.0,0.15622496604919434,0.0,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,lp,Optimal Feasible,4.0,1.9999999969907303,0.021627187728881836,50.000000075231746,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,mip,Optimal Feasible,4.0,4.0,0.15622496604919434,0.0,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,lp,Optimal Feasible,4.0,1.9999999969907303,0.021627187728881836,50.000000075231746,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,sdp,Optimal Feasible,4.0,2.3106299145176745,0.07010293006896973,42.234252137058135,3.91
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,mip,Optimal Feasible,4.0,4.0,0.15622496604919434,0.0,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,lp,Optimal Feasible,4.0,1.9999999969907303,0.021627187728881836,50.000000075231746,2.8
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,sdp,Optimal Feasible,4.0,2.3106299145176745,0.07010293006896973,42.234252137058135,3.91
1,10_Vertices_0.6_Sparsity,10,0.6,18,45.0,0.4,qesdp,Optimal Feasible,4.0,4.955350150103142,0.1736302375793457,-23.883753752578542,4.91
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,mip,Optimal Feasible,4.0,4.0,0.11318802833557129,0.0,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,mip,Optimal Feasible,4.0,4.0,0.11318802833557129,0.0,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,lp,Optimal Feasible,4.0,1.9999999972094273,0.025350093841552734,50.00000006976432,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,mip,Optimal Feasible,4.0,4.0,0.11318802833557129,0.0,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,lp,Optimal Feasible,4.0,1.9999999972094273,0.025350093841552734,50.00000006976432,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,sdp,Optimal Feasible,4.0,2.310052179307532,0.0678110122680664,42.248695517311695,3.41
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,mip,Optimal Feasible,4.0,4.0,0.11318802833557129,0.0,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,lp,Optimal Feasible,4.0,1.9999999972094273,0.025350093841552734,50.00000006976432,2.3
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,sdp,Optimal Feasible,4.0,2.310052179307532,0.0678110122680664,42.248695517311695,3.41
1,10_Vertices_0.8_Sparsity,10,0.8,13,45.0,0.28888888888888886,qesdp,Optimal Feasible,4.0,4.473663294340652,0.14779114723205566,-11.84158235851629,4.41
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,mip,Optimal Feasible,9.0,9.0,0.3300914764404297,0.0,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,mip,Optimal Feasible,9.0,9.0,0.3300914764404297,0.0,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,lp,Optimal Feasible,9.0,1.999999993925938,0.01790475845336914,77.77777784526737,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,mip,Optimal Feasible,9.0,9.0,0.3300914764404297,0.0,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,lp,Optimal Feasible,9.0,1.999999993925938,0.01790475845336914,77.77777784526737,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,sdp,Optimal Feasible,9.0,2.3115816391102193,0.0903465747833252,74.31575956544201,5.51
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,mip,Optimal Feasible,9.0,9.0,0.3300914764404297,0.0,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,lp,Optimal Feasible,9.0,1.999999993925938,0.01790475845336914,77.77777784526737,4.4
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,sdp,Optimal Feasible,9.0,2.3115816391102193,0.0903465747833252,74.31575956544201,5.51
2,10_Vertices_0.2_Sparsity,10,0.2,37,45.0,0.8222222222222222,qesdp,Optimal Feasible,9.0,9.474385415033733,0.41528797149658203,-5.270949055930371,6.51
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,mip,Optimal Feasible,6.0,6.0,0.26189470291137695,0.0,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,mip,Optimal Feasible,6.0,6.0,0.26189470291137695,0.0,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,lp,Optimal Feasible,6.0,1.9999999962229629,0.02692723274230957,66.66666672961729,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,mip,Optimal Feasible,6.0,6.0,0.26189470291137695,0.0,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,lp,Optimal Feasible,6.0,1.9999999962229629,0.02692723274230957,66.66666672961729,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,sdp,Optimal Feasible,6.0,2.3113696883038855,0.08874845504760742,61.47717186160191,5.01
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,mip,Optimal Feasible,6.0,6.0,0.26189470291137695,0.0,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,lp,Optimal Feasible,6.0,1.9999999962229629,0.02692723274230957,66.66666672961729,3.9
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,sdp,Optimal Feasible,6.0,2.3113696883038855,0.08874845504760742,61.47717186160191,5.01
2,10_Vertices_0.4_Sparsity,10,0.4,28,45.0,0.6222222222222222,qesdp,Optimal Feasible,6.0,7.5214951796229546,0.619495153427124,-25.358252993715908,6.01
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,mip,Optimal Feasible,4.0,4.0,0.09893536567687988,0.0,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,mip,Optimal Feasible,4.0,4.0,0.09893536567687988,0.0,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,lp,Optimal Feasible,4.0,1.9999999946362357,0.024054765701293945,50.000000134094115,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,mip,Optimal Feasible,4.0,4.0,0.09893536567687988,0.0,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,lp,Optimal Feasible,4.0,1.9999999946362357,0.024054765701293945,50.000000134094115,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,sdp,Optimal Feasible,4.0,2.310531954121239,0.08185887336730957,42.236701146969025,3.81
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,mip,Optimal Feasible,4.0,4.0,0.09893536567687988,0.0,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,lp,Optimal Feasible,4.0,1.9999999946362357,0.024054765701293945,50.000000134094115,2.7
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,sdp,Optimal Feasible,4.0,2.310531954121239,0.08185887336730957,42.236701146969025,3.81
2,10_Vertices_0.6_Sparsity,10,0.6,19,45.0,0.4222222222222222,qesdp,Optimal Feasible,4.0,5.027985425769735,0.17164850234985352,-25.69963564424338,4.81
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,mip,Optimal Feasible,3.0,3.0,0.05578112602233887,0.0,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,mip,Optimal Feasible,3.0,3.0,0.05578112602233887,0.0,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,lp,Optimal Feasible,3.0,1.9999999983262629,0.01681995391845703,33.33333338912457,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,mip,Optimal Feasible,3.0,3.0,0.05578112602233887,0.0,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,lp,Optimal Feasible,3.0,1.9999999983262629,0.01681995391845703,33.33333338912457,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,sdp,Optimal Feasible,3.0,2.3088904881244523,0.06516885757446289,23.036983729184925,2.81
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,mip,Optimal Feasible,3.0,3.0,0.05578112602233887,0.0,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,lp,Optimal Feasible,3.0,1.9999999983262629,0.01681995391845703,33.33333338912457,1.7
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,sdp,Optimal Feasible,3.0,2.3088904881244523,0.06516885757446289,23.036983729184925,2.81
2,10_Vertices_0.8_Sparsity,10,0.8,8,45.0,0.17777777777777778,qesdp,Optimal Feasible,3.0,3.6544204586053306,0.31243109703063965,-21.814015286844356,3.81
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,mip,Optimal Feasible,8.0,8.0,0.3924992084503174,0.0,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,mip,Optimal Feasible,8.0,8.0,0.3924992084503174,0.0,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,lp,Optimal Feasible,8.0,1.9999999950318532,0.016834259033203125,75.00000006210183,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,mip,Optimal Feasible,8.0,8.0,0.3924992084503174,0.0,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,lp,Optimal Feasible,8.0,1.9999999950318532,0.016834259033203125,75.00000006210183,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,sdp,Optimal Feasible,8.0,2.3115432593561747,0.09199833869934082,71.10570925804782,5.41
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,mip,Optimal Feasible,8.0,8.0,0.3924992084503174,0.0,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,lp,Optimal Feasible,8.0,1.9999999950318532,0.016834259033203125,75.00000006210183,4.3
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,sdp,Optimal Feasible,8.0,2.3115432593561747,0.09199833869934082,71.10570925804782,5.41
3,10_Vertices_0.2_Sparsity,10,0.2,32,45.0,0.7111111111111111,qesdp,Optimal Feasible,8.0,8.668153435348026,0.652724027633667,-8.351917941850328,6.41
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,mip,Optimal Feasible,6.0,6.0,0.22307372093200684,0.0,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,mip,Optimal Feasible,6.0,6.0,0.22307372093200684,0.0,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,lp,Optimal Feasible,6.0,1.9999999974956957,0.0174713134765625,66.66666670840507,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,mip,Optimal Feasible,6.0,6.0,0.22307372093200684,0.0,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,lp,Optimal Feasible,6.0,1.9999999974956957,0.0174713134765625,66.66666670840507,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,sdp,Optimal Feasible,6.0,2.3112136811427857,0.07635283470153809,61.479771980953565,4.71
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,mip,Optimal Feasible,6.0,6.0,0.22307372093200684,0.0,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,lp,Optimal Feasible,6.0,1.9999999974956957,0.0174713134765625,66.66666670840507,3.6
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,sdp,Optimal Feasible,6.0,2.3112136811427857,0.07635283470153809,61.479771980953565,4.71
3,10_Vertices_0.4_Sparsity,10,0.4,24,45.0,0.5333333333333333,qesdp,Optimal Feasible,6.0,7.047630845761131,0.6043224334716797,-17.460514096018855,5.71
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,mip,Optimal Feasible,4.0,4.0,0.1139068603515625,0.0,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,mip,Optimal Feasible,4.0,4.0,0.1139068603515625,0.0,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,lp,Optimal Feasible,4.0,1.9999999944623228,0.02370309829711914,50.000000138441926,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,mip,Optimal Feasible,4.0,4.0,0.1139068603515625,0.0,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,lp,Optimal Feasible,4.0,1.9999999944623228,0.02370309829711914,50.000000138441926,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,sdp,Optimal Feasible,4.0,2.3105319541212372,0.05726981163024902,42.23670114696907,3.81
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,mip,Optimal Feasible,4.0,4.0,0.1139068603515625,0.0,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,lp,Optimal Feasible,4.0,1.9999999944623228,0.02370309829711914,50.000000138441926,2.7
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,sdp,Optimal Feasible,4.0,2.3105319541212372,0.05726981163024902,42.23670114696907,3.81
3,10_Vertices_0.6_Sparsity,10,0.6,16,45.0,0.35555555555555557,qesdp,Optimal Feasible,4.0,4.818855178331328,0.15111160278320312,-20.471379458283188,4.81
3,10_Vertices_0.8_Sparsity,10,0.8,11,45.0,0.24444444444444444,mip,Optimal Feasible,4.0,4.0,0.09398889541625977,0.0,2.3
3,10_Vertices_0.8_Sparsity,10,0.8,11,45.0,0.24444444444444444,mip,Optimal Feasible,4.0,4.0,0.09398889541625977,0.0,2.3
3,10_Vertices_0.8_Sparsity,10,0.8,11,45.0,0.24444444444444444,lp,Optimal Feasible,4.0,1.9999999957152288,0.025603532791137695,50.00000010711928,2.3
3,10_Vertices_0.8_Sparsity,10,0.8,11,45.0,0.24444444444444444,mip,Optimal Feasible,4.0,4.0,0.09398889541625977,0.0,2.3
3,10_Vertices_0.8_Sparsity,10,0.8,11,45.0,0.24444444444444444,lp,Optimal Feasible,4.0,1.9999999957152288,0.025603532791137695,50.00000010711928,2.3
